City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,kourou,5.1552,-52.6478,34.03,60,20,4.95,GF,1695578336
383,aquiraz,-3.9014,-38.3911,31.05,62,1,5.94,BR,1695578336
384,tionk essil,12.7856,-16.5217,35.03,78,63,3.74,SN,1695578336
385,aswan,24.0934,32.907,38.61,16,0,2.57,EG,1695578336
386,ghanzi,-21.5667,21.7833,28.51,16,60,3.73,BW,1695578336
387,tevriz,57.509,72.4042,9.19,95,100,1.51,RU,1695578337
388,ilagan,17.1485,121.8892,23.68,92,100,0.35,PH,1695578337
389,dalandzadgad,43.5708,104.425,10.92,64,95,5.67,MN,1695578337
390,togur,58.3631,82.8265,-0.13,82,59,1.41,RU,1695578337
391,turpan,42.9333,89.1667,19.51,38,94,1.82,CN,1695578338
392,sunne,59.8376,13.143,11.23,84,51,2.31,SE,1695578338
393,hauterive,46.0901,3.4459,19.42,57,8,1.8,FR,1695578338
394,kavieng,-2.5744,150.7967,26.45,86,100,6.14,PG,1695578338
395,bangui,4.3612,18.555,24.1,83,20,0.0,CF,1695578338
396,barreiro do jaiba,-15.6167,-43.6,38.24,15,12,0.98,BR,1695578339
397,moshi,-3.35,37.3333,22.36,69,92,4.37,TZ,1695578339
398,nadym,65.5333,72.5167,10.77,92,28,5.77,RU,1695578339
399,ada,43.4166,-116.1262,19.43,37,0,5.36,US,1695578339
400,al kharj,24.155,47.3346,35.32,12,3,4.78,SA,1695578339
401,portland,45.5234,-122.6762,15.06,91,100,2.24,US,1695577773
402,susuman,62.7833,148.1667,-2.94,92,96,1.64,RU,1695578340
403,cucuta,7.8833,-72.5053,32.97,43,75,6.17,CO,1695578340
404,tver,56.8619,35.8931,16.25,96,98,2.23,RU,1695578340
405,salalah,17.0151,54.0924,26.49,84,70,0.89,OM,1695578340
406,kapa'a,22.0752,-159.319,26.38,71,20,8.23,US,1695578341
407,kailua-kona,19.6406,-155.9956,24.57,84,40,2.57,US,1695578055
408,alma,48.5501,-71.6491,17.28,52,3,2.75,CA,1695578243
409,sorong,-0.8833,131.25,25.27,83,99,5.49,ID,1695578341
410,al bawiti,28.3492,28.8659,29.17,29,0,3.05,EG,1695578341
411,san luis de la loma,17.2706,-100.8939,31.99,64,1,3.28,MX,1695578342
412,manado,1.487,124.8455,23.43,88,20,1.03,ID,1695578342
413,kapit,2.0167,112.9333,22.66,99,91,0.57,MY,1695578342
414,porto novo,6.4965,2.6036,26.9,93,100,1.45,BJ,1695578342
415,lepsy,46.235,78.9456,11.34,39,11,1.86,KZ,1695578342
416,sandnessjoen,66.0217,12.6316,10.23,87,75,9.26,NO,1695578343
417,turkmenbasy,40.0222,52.9552,23.43,23,0,3.09,TM,1695578343
418,curitibanos,-27.2828,-50.5844,31.59,37,42,3.04,BR,1695578343
419,kingscliff,-28.2667,153.5667,16.54,77,100,2.06,AU,1695578343
420,wuyang,31.9925,116.2472,18.95,94,100,2.11,CN,1695578343
421,amungan,15.3652,119.9582,26.06,84,93,2.09,PH,1695578344
422,vilyuchinsk,52.9306,158.4028,3.15,77,34,3.4,RU,1695578344
423,nagqu,31.5,92.0,3.17,94,98,1.69,CN,1695578344
424,mourenx,43.3833,-0.6,24.49,50,0,1.54,FR,1695578344
425,yuzhno-kurilsk,44.0306,145.8556,13.64,88,0,2.77,RU,1695578345
426,savannakhet,16.566,104.751,24.78,84,72,1.01,LA,1695578345
427,rio grande,-32.035,-52.0986,18.06,90,100,5.03,BR,1695578260
428,new norfolk,-42.7826,147.0587,10.72,85,38,1.23,AU,1695578345
429,la oliva,28.6105,-13.9291,23.66,73,75,5.14,ES,1695578346
430,champerico,14.3,-91.9167,32.3,69,60,3.62,GT,1695578346
431,ahlat,38.7518,42.4814,19.03,30,27,1.65,TR,1695578346
432,alaghsas,17.0187,8.0168,37.94,19,0,3.09,NE,1695578346
433,trairi,-3.2778,-39.2689,29.92,60,0,7.16,BR,1695578265
434,sabzevar,36.2126,57.6819,17.63,25,0,6.45,IR,1695578347
435,port augusta,-32.5,137.7667,17.39,43,92,5.25,AU,1695578347
436,sabha,27.0377,14.4283,32.54,14,1,2.01,LY,1695578347
437,hacienda huancane,-15.8222,-70.8856,15.21,19,37,5.82,PE,1695578347
438,chibougamau,49.9168,-74.3659,16.79,45,20,3.6,CA,1695578348
439,tommot,58.9564,126.2925,6.58,96,63,0.76,RU,1695578348
440,pasni,25.2631,63.471,27.89,56,4,5.4,PK,1695578348
441,fort st. john,56.2499,-120.8529,9.94,66,75,6.69,CA,1695578348
442,al jumum,21.6169,39.6981,33.75,44,0,1.19,SA,1695578348
443,tofol,5.3248,163.0078,28.12,72,93,1.21,FM,1695578349
444,kievka,50.2619,71.5514,11.51,56,25,3.34,KZ,1695578349
445,aketi,2.7388,23.7833,21.83,94,93,0.83,CD,1695578349
446,aykhal,66.0,111.5,6.65,86,13,3.08,RU,1695578288
447,yambio,4.5721,28.3955,21.15,97,100,1.94,SS,1695578350
448,yamba,-5.9,22.3,24.36,81,78,1.04,CD,1695578350
449,mytilene,39.11,26.5547,28.9,54,0,4.12,GR,1695578350
450,anta,25.15,76.3,26.74,78,85,2.31,IN,1695578351
451,ponta delgada,37.7333,-25.6667,24.55,56,20,4.12,PT,1695578351
